Node_ID EB_TX EACK_TX DIO_TX DIS_TX DAO_TX DAO_ACK_TX CoAP_TX
1 3219 8721 288 0 0 59 35991
2 3219 1558 384 0 94 68 6376
3 3219 1957 480 0 102 68 7117
4 3182 760 480 0 102 0 1460
5 3182 7999 288 0 94 68 48052
6 3219 760 480 0 93 0 1460
7 3219 760 384 0 102 0 1460
8 3182 3401 384 0 93 0 22661
9 3219 2698 288 0 94 68 12274
10 3182 380 288 0 85 0 1460
0 0 0 0 0 0 0 0
1 3219 8721 384 0 0 59 36325
2 3219 1520 384 0 94 68 6376
3 3256 1919 384 0 102 68 7237
4 3145 760 384 0 102 0 1460
5 3145 7961 288 0 94 68 48342
6 3256 760 288 0 93 0 1533
7 3182 760 384 0 102 0 1460
8 3182 3401 384 0 93 0 23266
9 3219 2660 384 0 94 68 12274
10 3182 380 288 0 85 0 1460
0 0 0 0 0 0 0 0
1 3182 8721 288 0 0 59 36325
2 3219 1520 288 0 94 68 6376
3 3219 1900 288 0 102 68 7164
4 3182 760 288 0 102 0 1460
5 3145 7961 288 0 94 68 48624
6 3256 760 288 0 93 0 1533
7 3182 760 288 0 102 0 1460
8 3182 3401 288 0 93 0 22927
9 3182 2660 288 0 94 68 12110
10 3219 380 288 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8721 288 0 0 59 36035
2 3219 1520 288 0 94 68 6376
3 3219 1900 288 0 102 68 7018
4 3182 760 288 0 102 0 1460
5 3145 7961 288 0 94 68 48144
6 3219 760 192 0 93 0 1533
7 3182 760 288 0 102 0 1460
8 3182 3401 288 0 93 0 22693
9 3219 2660 288 0 94 68 11910
10 3219 380 288 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8721 192 0 0 59 36088
2 3219 1520 288 0 94 68 6376
3 3256 1900 288 0 102 68 7018
4 3182 760 288 0 102 0 1460
5 3182 7961 288 0 94 68 48108
6 3256 760 288 0 93 0 1533
7 3182 760 288 0 102 0 1460
8 3182 3401 288 0 93 0 22814
9 3182 2660 288 0 94 68 11866
10 3256 380 288 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8721 192 0 0 59 36088
2 3219 1520 192 0 94 68 6376
3 3219 1900 192 0 102 68 7018
4 3182 760 192 0 102 0 1460
5 3145 7961 192 0 94 68 48272
6 3219 760 288 0 93 0 1533
7 3182 760 192 0 102 0 1460
8 3182 3401 192 0 93 0 22814
9 3219 2660 192 0 94 68 11866
10 3219 380 192 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8740 192 0 0 59 36124
2 3219 1520 192 0 94 68 6376
3 3219 1900 192 0 102 68 7018
4 3182 760 192 0 102 0 1460
5 3182 7980 192 0 94 68 48308
6 3256 760 192 0 93 0 1533
7 3182 760 192 0 102 0 1460
8 3182 3420 192 0 93 0 22935
9 3182 2660 192 0 94 68 11866
10 3219 380 192 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8778 192 0 0 110 36414
2 3256 1520 192 0 94 68 6376
3 3219 1900 192 0 102 68 7018
4 3182 760 192 0 102 0 1460
5 3182 7999 192 0 94 68 48146
6 3256 760 192 0 93 0 1533
7 3145 760 192 0 102 0 1460
8 3182 3420 192 0 93 0 22935
9 3182 2679 192 0 94 68 11784
10 3182 380 192 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8892 192 0 0 443 36414
2 3219 1577 192 0 179 68 6458
3 3219 1938 192 0 195 68 7018
4 3182 760 192 0 102 0 1460
5 3182 8037 192 0 273 128 48146
6 3256 760 192 0 93 0 1533
7 3182 779 192 0 102 0 1460
8 3182 3439 192 0 93 0 23056
9 3182 2736 192 0 273 128 11784
10 3219 399 192 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8911 96 0 0 443 36986
2 3256 1577 96 0 179 68 6458
3 3219 1957 192 0 195 68 7144
4 3182 779 192 0 102 0 1460
5 3182 8075 192 0 273 128 48392
6 3256 779 192 0 93 0 1533
7 3182 779 96 0 102 0 1460
8 3182 3439 192 0 93 0 23064
9 3219 2755 192 0 273 128 11886
10 3219 399 192 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8911 96 0 0 443 36904
2 3256 1577 96 0 179 68 6494
3 3182 1957 96 0 195 68 7144
4 3182 779 192 0 102 0 1460
5 3182 8075 192 0 273 128 48270
6 3256 779 192 0 93 0 1533
7 3182 779 96 0 102 0 1460
8 3182 3439 96 0 93 0 23064
9 3219 2755 96 0 273 128 11886
10 3219 399 192 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8911 96 0 0 443 37030
2 3219 1577 96 0 179 68 6567
3 3182 1957 96 0 195 68 7449
4 3182 779 96 0 102 0 1460
5 3182 8075 96 0 273 128 47966
6 3256 760 192 0 93 0 1533
7 3219 779 96 0 102 0 1460
8 3182 3439 96 0 93 0 22830
9 3219 2755 96 0 273 128 11922
10 3182 399 96 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8911 96 0 0 443 37161
2 3219 1577 96 0 179 68 6640
3 3219 1957 96 0 195 68 7449
4 3145 779 96 0 102 0 1460
5 3182 8075 96 0 273 128 48048
6 3256 760 96 0 93 0 1460
7 3219 779 96 0 102 0 1460
8 3145 3439 96 0 93 0 22709
9 3182 2755 96 0 273 128 12054
10 3219 399 96 0 85 0 1679
0 0 0 0 0 0 0 0
1 3219 8911 96 0 0 443 37117
2 3219 1577 96 0 179 68 6604
3 3182 1957 96 0 195 68 7323
4 3145 779 96 0 102 0 1460
5 3182 8075 96 0 273 128 47829
6 3219 760 96 0 93 0 1460
7 3182 779 96 0 102 0 1460
8 3182 3439 96 0 93 0 22709
9 3182 2755 96 0 273 128 11974
10 3219 399 96 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3182 8873 96 0 0 384 36909
2 3182 1577 96 0 85 0 6604
3 3182 1957 96 0 93 0 7323
4 3182 760 96 0 0.0 0 1460
5 3182 7999 96 0 179 60 47295
6 3219 760 96 0 0.0 0 1460
7 3182 779 96 0 0.0 0 1460
8 3219 3439 96 0 0.0 0 22709
9 3182 2755 96 0 179 60 11974
10 3219 399 96 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3145 8873 96 0 0 384 36909
2 3182 1577 192 0 85 0 6604
3 3145 1957 192 0 93 0 7323
4 3145 760 96 0 0.0 0 1460
5 3182 7999 96 0 179 60 47295
6 3182 760 96 0 0.0 0 1460
7 3182 779 96 0 0.0 0 1460
8 3182 3439 96 0 0.0 0 22588
9 3182 2755 96 0 179 60 12100
10 3182 399 96 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3145 8873 96 0 0 384 36909
2 3219 1577 192 0 85 0 6604
3 3182 1957 192 0 93 0 7323
4 3145 760 96 0 0.0 0 1460
5 3219 7999 96 0 179 60 47310
6 3182 760 96 0 0.0 0 1460
7 3219 779 96 0 0.0 0 1460
8 3182 3439 96 0 0.0 0 22588
9 3182 2755 96 0 179 60 12028
10 3182 399 96 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3182 8873 192 0 0 384 36909
2 3182 1577 192 0 85 0 6604
3 3145 1957 192 0 93 0 7323
4 3182 760 192 0 0.0 0 1460
5 3182 7999 192 0 179 60 47310
6 3219 760 96 0 0.0 0 1460
7 3182 779 96 0 0.0 0 1460
8 3219 3439 192 0 0.0 0 22588
9 3182 2755 96 0 179 60 12154
10 3219 399 192 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3182 8873 192 0 0 384 36865
2 3182 1577 192 0 85 0 6604
3 3145 1957 192 0 93 0 7323
4 3182 760 192 0 0.0 0 1460
5 3182 7999 192 0 179 60 47164
6 3182 760 96 0 0.0 0 1460
7 3182 779 96 0 0.0 0 1460
8 3219 3439 192 0 0.0 0 22588
9 3182 2755 192 0 179 60 12028
10 3182 399 192 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3182 8873 192 0 0 384 37275
2 3145 1577 96 0 85 0 6766
3 3182 1938 192 0 93 0 7352
4 3182 760 192 0 0.0 0 1460
5 3219 7999 192 0 179 60 47372
6 3182 760 96 0 0.0 0 1533
7 3182 779 96 0 0.0 0 1460
8 3182 3439 192 0 0.0 0 22588
9 3219 2755 192 0 179 60 12110
10 3182 399 192 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3145 8873 192 0 0 384 37275
2 3145 1577 96 0 85 0 6766
3 3182 1938 96 0 93 0 7352
4 3182 760 96 0 0.0 0 1460
5 3182 7999 192 0 179 60 47372
6 3219 760 96 0 0.0 0 1533
7 3145 779 192 0 0.0 0 1460
8 3219 3439 192 0 0.0 0 22588
9 3182 2755 192 0 179 60 12190
10 3145 399 192 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3182 8873 96 0 0 384 36941
2 3182 1577 96 0 85 0 6766
3 3145 1938 96 0 93 0 7106
4 3182 760 96 0 0.0 0 1460
5 3182 7999 192 0 179 60 47036
6 3182 760 192 0 0.0 0 1460
7 3182 779 96 0 0.0 0 1460
8 3219 3439 96 0 0.0 0 21983
9 3219 2755 96 0 179 60 12190
10 3182 399 192 0 0.0 0 1679
0 0 0 0 0 0 0 0
1 3182 8873 96 0 0 435 37149
2 3145 1558 96 0 179 60 7197
3 3182 1938 96 0 195 0 7325
4 3182 760 96 0 0.0 0 1460
5 3219 7999 96 0 273 60 46836
6 3219 760 192 0 0.0 0 1460
7 3182 779 96 0 93 0 1460
8 3219 3439 96 0 93 0 22104
9 3219 2755 96 0 273 128 12272
10 3145 399 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3145 8873 96 0 0 435 37149
2 3145 1558 96 0 179 60 7197
3 3182 1938 96 0 195 68 7325
4 3182 760 96 0 93 0 1460
5 3219 7999 96 0 273 120 46714
6 3219 760 192 0 93 0 1460
7 3182 779 96 0 93 0 1460
8 3182 3439 96 0 93 0 22104
9 3182 2755 96 0 273 128 12272
10 3145 399 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3145 8873 96 0 0 435 37023
2 3145 1558 96 0 179 60 7197
3 3145 1938 96 0 195 68 7325
4 3182 760 96 0 93 0 1460
5 3182 7999 96 0 273 120 46714
6 3182 760 96 0 93 0 1460
7 3182 779 96 0 93 0 1460
8 3219 3439 96 0 93 0 22104
9 3219 2755 96 0 273 128 12345
10 3145 399 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3182 8873 96 0 0 435 37227
2 3145 1558 96 0 179 60 7197
3 3182 1938 96 0 195 68 7480
4 3145 760 96 0 93 0 1460
5 3182 7999 96 0 273 120 47048
6 3219 760 96 0 93 0 1460
7 3182 779 96 0 93 0 1460
8 3219 3439 96 0 93 0 22467
9 3182 2755 96 0 273 128 12418
10 3145 399 96 0 85 0 1460
0 0 0 0 0 0 0 0
1 3182 8873 96 0 0 435 37633
2 3145 1558 96 0 179 60 7197
3 3182 1938 96 0 195 68 7480
4 3182 760 96 0 93 0 1460
5 3182 7999 96 0 273 120 47382
6 3182 760 96 0 93 0 1460
7 3182 760 96 0 93 0 1460
8 3219 3439 96 0 93 0 22467
9 3182 2755 96 0 273 128 12418
10 3182 399 96 0 85 0 1606
0 0 0 0 0 0 0 0
1 3145 8835 96 0 0 384 37465
2 3108 1558 96 0 179 60 7197
3 3182 1938 96 0 195 68 7480
4 3182 760 96 0 93 0 1460
5 3182 7980 96 0 273 120 47382
6 3182 760 96 0 93 0 1460
7 3182 760 96 0 93 0 1387
8 3182 3439 96 0 93 0 22467
